AC,priority,label-val,between_connectivity,cluster
CAC85829.1,False,0,0,1.0
ADZ05811.1,False,0,0,1.0
CBO78207.1,False,0,0,1.0
CAH25815.1,False,0,0,1.0
AAS18387.1,False,0,0,1.0
WP_000167947.1,False,0,0,0.0
CAD55840.1,False,0,0,1.0
ACF06160.1,False,0,0,1.0
AEY63633.1,False,0,0,1.0
NP_253438.1,False,0,0,0.0
ABF71542.1,False,0,0,1.0
AAO82932.1,False,0,0,0.0
WP_012683946.1,False,0,0,0.0
WP_000167933.1,False,0,0,0.0
AAN40996.1,False,0,0,1.0
AFA38016.1,False,0,0,1.0
WP_000259031.1,False,0,0,1.0
AAK45502.1,False,0,0,1.0
ABS43700.1,False,0,0,0.0
BAH76064.1,False,0,0,0.0
ADZ05750.1,False,0,0,1.0
WP_011765121.1,False,0,0,0.0
CAB11853.1,False,0,0,0.0
AEE66480.1,False,0,0,0.0
ABB63349.1,False,0,0,0.0
NP_274695.1,False,0,0,0.0
WP_000167936.1,False,0,0,0.0
ACN39575.1,False,0,0,1.0
ABQ56968.1,False,0,0,0.0
CAC81945.1,False,0,0,1.0
ABR78980.1,False,0,0,0.0
CAJ65910.1,False,0,0,1.0
AAM21660.1,False,0,0,1.0
ADM92620.1,False,0,0,1.0
AGS61873.1,False,0,0,0.0
WP_000167944.1,False,0,0,0.0
ACO54189.1,False,0,0,1.0
ABY60427.1,False,0,0,1.0
CAD57197.1,False,0,0,1.0
YP_002791403.1.,False,0,0,1.0
WP_063855074.1,False,0,0,1.0
WP_000259018.1,False,0,0,1.0
WP_032490794.1,False,0,0,1.0
WP_007929940.1.,False,0,0,1.0
NG_048085.1,False,0,0,1.0
EZK20693.1,False,0,0,1.0
CAH16951.1,False,0,0,0.0
SBV31106,False,0,0,0.0
AAC60780.1,False,0,0,1.0
BAE78116.1,False,0,0,0.0
AAC75089.1,False,0,0,0.0
AAC60781.1,False,0,0,0.0
AAC75315.1,False,0,0,0.0
NP_252244,False,0,0,0.0
BAG33043.1,False,0,0,0.0
AEX49906.1,False,0,0,0.0
ASF81896.1,False,0,0,0.0
ANR95875.1,False,0,0,0.0
ASR73329.1,False,0,0,0.0
ASK40562.1,False,0,0,0.0
NP_253464.1,False,0,0,0.0
CCP43410.1,False,0,0,0.0
AAO82600.1,False,0,0,0.0
NP_249870.1,False,0,0,0.0
A0A109KXU6,False,0,0,0.0
A0A0P7N222,False,0,0,0.0
D2TVW5,False,0,0,0.0
A0A0M3EY82,False,0,0,0.0
A0A0E8GZF5,False,0,0,0.0
B9U319,False,0,0,0.0
A0A026UMU2,False,0,0,0.0
A0A097R812,False,0,0,0.0
A0A0J6HLR0,False,0,0,0.0
F0JWD5,False,0,0,0.0
F0JWD6,False,0,0,0.0
A0A0M4N2Y0,False,0,0,0.0
A0A085A2L0,False,0,0,0.0
A0A0T9LFJ9,False,0,0,0.0
A0A0K1QU26,False,0,0,0.0
ZP_03028356,False,0,0,0.0
J6HCV7,False,0,0,0.0
A0A0J1LGZ2,False,0,0,0.0
A0A132FJ12,False,0,0,0.0
A0A156B9F3,False,0,0,0.0
B3X1U0,False,0,0,0.0
S3IUZ0,False,0,0,0.0
A0A0U5LBB1,False,0,0,0.0
A0A0K3NPP2,False,0,0,0.0
A0A0L5XC50,False,0,0,0.0
A0A0G3S638,False,0,0,0.0
A0A085JHY8,False,0,0,0.0
A0A0V9EEY4,False,0,0,0.0
V1W5W5,False,0,0,0.0
A0A0X1SYF9,False,0,0,0.0
A0A0G4PZ11,False,0,0,0.0
A0A0N2A4Q2,False,0,0,0.0
A0A0W0NSZ3,False,0,0,0.0
V5ALM1,False,0,0,0.0
C4S9Z8,False,0,0,0.0
A0A0X7K8G2,False,0,0,0.0
A0A0J6GT81,False,0,0,0.0
A0A0E2UMW4,False,0,0,0.0
D2TVW4,False,0,0,0.0
V5ALN5,False,0,0,0.0
A0A014N2J7,False,0,0,0.0
YP_408684,False,0,0,0.0
M8KG79,False,0,0,0.0
A0A0E4C296,False,0,0,0.0
E1PKH4,False,0,0,0.0
A0A0A1I3E0,False,0,0,0.0
A0A068RD48,False,0,0,0.0
T6HP09,False,0,0,0.0
A0A0R9NU30,False,0,0,0.0
A0A0J5N1E8,False,0,0,0.0
I6H0P5,False,0,0,0.0
A0A0G3QBI3,False,0,0,0.0
A0A017IDM0,False,0,0,0.0
A0A0Q3AXI2,False,0,0,0.0
A0A0J3VWY5,False,0,0,0.0
A0A0B6XC94,False,0,0,0.0
A0A0N0LA27,False,0,0,0.0
A1ADA7,False,0,0,0.0
A0A0T9KR44,False,0,0,0.0
A0A0Q0AV48,False,0,0,0.0
A0A0P9ICL2,False,0,0,0.0
A0A0N0X0K9,False,0,0,0.0
A0A0M3ETW6,False,0,0,0.0
A0A0W0H2L9,False,0,0,0.0
A0A0Q8HQ23,False,0,0,0.0
J0VYY2,False,0,0,0.0
A0A085GTE8,False,0,0,0.0
W1FSZ7,False,0,0,0.0
C6C761,False,0,0,0.0
J3APA3,False,0,0,0.0
A0A023VF21,False,0,0,0.0
A0A0M4QQU5,False,0,0,0.0
A0A120G0K1,False,0,0,0.0
G9Z0X9,False,0,0,0.0
J2SBI8,False,0,0,0.0
A0A0P9UZG6,False,0,0,0.0
A0A0F1DC61,False,0,0,0.0
S1C5T2,False,0,0,0.0
A0A0F0TGQ7,False,0,0,0.0
E0SD05,False,0,0,0.0
K8W9Q1,False,0,0,0.0
A0A0L5XB01,False,0,0,0.0
Q7N3Q6,False,0,0,0.0
J3FE31,False,0,0,0.0
A0A090T4G1,False,0,0,0.0
J2P759,False,0,0,0.0
B5FNT9,False,0,0,0.0
A0A0R3AGD3,False,0,0,0.0
A0A064D514,False,0,0,0.0
Q83QT8,False,0,0,0.0
A0A0F5SA30,False,0,0,0.0
A0A087L373,False,0,0,0.0
ZP_04615639,False,0,0,1.0
D7YP51,False,0,0,0.0
J3YT07,False,0,0,0.0
A0A0A8FIR0,False,0,0,0.0
V9QXR7,False,0,0,0.0
B1LLK9,False,0,0,0.0
A0A0M2KLF3,False,0,0,0.0
G2S3J0,False,0,0,0.0
I6D8H2,False,0,0,0.0
A0A068HIK7,False,0,0,0.0
A0A0F5XWF3,False,0,0,0.0
CAS09947,False,0,0,0.0
A0A0W0AUH0,False,0,0,0.0
A0A0L6Y0U6,False,0,0,0.0
A0A0A0CUD0,False,0,0,0.0
A0A136FS57,False,0,0,0.0
A0A145IJ21,False,0,0,0.0
A0A059I423,False,0,0,0.0
A0A0H5BP50,False,0,0,0.0
A0A0D7LWL8,False,0,0,0.0
A0A0T9M4T5,False,0,0,0.0
A0A0N1DIA9,False,0,0,0.0
A0A0P9N4M4,False,0,0,0.0
A0A0P9STU2,False,0,0,0.0
A0A0T9USW7,False,0,0,0.0
R8XMA6,False,0,0,0.0
E7T2Q6,False,0,0,0.0
S1LGA7,False,0,0,0.0
A0A0I3RH09,False,0,0,0.0
F3JTT8,False,0,0,0.0
A0A089WRP8,False,0,0,0.0
A0A0P9P4K2,False,0,0,0.0
T6HKU4,False,0,0,0.0
A0A0F4TH68,False,0,0,0.0
A0A0W0JRZ2,False,0,0,0.0
J3YSB8,False,0,0,0.0
A0A0E2TWM0,False,0,0,0.0
A0A023E8T8,False,0,0,0.0
A0A0H2QEA2,False,0,0,0.0
A0A059L870,False,0,0,0.0
A0A0H3NS18,False,0,0,0.0
A0A081RZF6,False,0,0,0.0
A0A0D8LPG6,False,0,0,0.0
A0A0N0FBV5,False,0,0,0.0
A0A085GAK8,False,0,0,0.0
A0A0J1KHY4,False,0,0,0.0
A0A143I1B6,False,0,0,0.0
G2S3I9,False,0,0,0.0
YP_001605795,False,0,0,1.0
A0A0M1RAS9,False,0,0,0.0
B7UFR6,False,0,0,0.0
A0A0M2KGJ0,False,0,0,0.0
B7LM77,False,0,0,0.0
C5BDQ5,False,0,0,0.0
A0A157TLN3,False,0,0,0.0
A0A085JHY7,False,0,0,0.0
A0A0B9AE02,False,0,0,0.0
I4N321,False,0,0,0.0
A0A0W0M2S5,False,0,0,0.0
S1EGL0,False,0,0,0.0
A0A0D6FBV2,False,0,0,0.0
A0A0T9QV03,False,0,0,0.0
A0A091ACG2,False,0,0,0.0
A0A0E1JG76,False,0,0,0.0
A0A0J6MGP4,False,0,0,0.0
V7ED22,False,0,0,0.0
A0A064TG61,False,0,0,0.0
A0A0P9LPB9,False,0,0,0.0
N2H7H1,False,0,0,0.0
A0A0S3NN43,False,0,0,0.0
U1S9F1,False,0,0,0.0
AAS61092,False,0,0,1.0
W9BMV1,False,0,0,0.0
A0A0C2I8P3,False,0,0,0.0
J2TTN2,False,0,0,0.0
A0A029PJ08,False,0,0,0.0
A0A0R3CBL4,False,0,0,0.0
A0A0H3EMD5,False,0,0,0.0
A0A0X8SEP6,False,0,0,0.0
A0A0J6HM06,False,0,0,0.0
A0KGY7,False,0,0,0.0
G8LJX8,False,0,0,0.0
A0A0F5SB35,False,0,0,0.0
A0A0D0MIY4,False,0,0,0.0
CAL13103,False,0,0,1.0
R9PFH3,False,0,0,0.0
J3EEJ2,False,0,0,0.0
M5QSH2,False,0,0,0.0
A0A084TE22,False,0,0,0.0
V3PSX2,False,0,0,0.0
A0A0R3AG42,False,0,0,0.0
A0A0P9P093,False,0,0,0.0
E7SK77,False,0,0,0.0
D8MPI6,False,0,0,0.0
H7E610,False,0,0,0.0
A0A0M1RAV7,False,0,0,0.0
A0A0D5WTP9,False,0,0,0.0
A0A145IKI7,False,0,0,0.0
A0A0H0DBG6,False,0,0,0.0
K0WFL3,False,0,0,0.0
N2JKQ4,False,0,0,0.0
A0A127MMX3,False,0,0,0.0
A0A0B1G6H2,False,0,0,0.0
K8X1R6,False,0,0,0.0
T8K214,False,0,0,0.0
A0A0S6V7I1,False,0,0,0.0
A0A0F6TV91,False,0,0,0.0
P36556,False,0,0,0.0
D2T3V0,False,0,0,0.0
B2VBI9,False,0,0,0.0
S6J300,False,0,0,0.0
ACI80986,False,0,0,0.0
A0A0A8RF76,False,0,0,0.0
A0A0D0PVW2,False,0,0,0.0
D4C2Y9,False,0,0,0.0
W0HQH8,False,0,0,0.0
A0A0Q8BY11,False,0,0,0.0
F3WK54,False,0,0,0.0
A0A0F5F2B4,False,0,0,0.0
A0A059XMS6,False,0,0,0.0
A0A0A7JNF6,False,0,0,0.0
M4WS35,False,0,0,0.0
Q4KC82,False,0,0,0.0
A0A085P284,False,0,0,0.0
V5Z5E3,False,0,0,0.0
V0UY29,False,0,0,0.0
T9SP00,False,0,0,0.0
A0A017IE82,False,0,0,0.0
D2T3U9,False,0,0,0.0
A0A090TT39,False,0,0,0.0
H9UUK0,False,0,0,0.0
C6DAW6,False,0,0,0.0
F5N5A5,False,0,0,0.0
G8LJX7,False,0,0,0.0
A0A0M9GI66,False,0,0,0.0
A0A0G2NQ65,False,0,0,0.0
R9VM70,False,0,0,0.0
J7KSL8,False,0,0,0.0
YP_002398630,False,0,0,0.0
N2JQ13,False,0,0,0.0
A0A0U7SXC8,False,0,0,0.0
W1INC0,False,0,0,0.0
W8Y1B7,False,0,0,0.0
A1JPP5,False,0,0,0.0
A0A0F1A7W6,False,0,0,0.0
V1I3D6,False,0,0,0.0
A0A0F3ZWB8,False,0,0,0.0
A0A093S879,False,0,0,0.0
E5B3E7,False,0,0,0.0
A0A026RWL7,False,0,0,0.0
L2VSU7,False,0,0,0.0
A0A0U0X9I2,False,0,0,0.0
E7T2Q7,False,0,0,0.0
A0A068R1Q2,False,0,0,0.0
F3DZU0,False,0,0,0.0
A0A0R3BEX0,False,0,0,0.0
W0HQX6,False,0,0,0.0
A0A133LLA9,False,0,0,0.0
A0A0F4BNW3,False,0,0,0.0
A0A0E1APA3,False,0,0,0.0
D3V1W5,False,0,0,0.0
A0A029HTN1,False,0,0,0.0
J2N115,False,0,0,0.0
W0BJB7,False,0,0,0.0
A0A085I084,False,0,0,0.0
A0A086C1G9,False,0,0,0.0
A0A0D7FL84,False,0,0,0.0
A0A0B2WH64,False,0,0,0.0
A0A0D1KPL2,False,0,0,0.0
I6FQN8,False,0,0,0.0
A0A0V9EE96,False,0,0,0.0
F3H502,False,0,0,0.0
A0A0A8FHP3,False,0,0,0.0
A0A0P0QE16,False,0,0,0.0
H1C1X1,False,0,0,0.0
S5HVM6,False,0,0,0.0
A0A0V1YTV2,False,0,0,0.0
A0A090UKU1,False,0,0,0.0
A0A0F5XWN1,False,0,0,0.0
A0A064DN59,False,0,0,0.0
J1QMF9,False,0,0,0.0
A0A083ZZG4,False,0,0,0.0
F4MZW6,False,0,0,0.0
A0A0L7DAI8,False,0,0,0.0
E2XRX6,False,0,0,0.0
A0A0A8P2R8,False,0,0,0.0
A0A0P7NMI5,False,0,0,0.0
A0A0J1KGD8,False,0,0,0.0
A0A0A5SCX6,False,0,0,0.0
A0A0F4T9B2,False,0,0,0.0
A0A0N1KIJ5,False,0,0,0.0
A0A087FTY0,False,0,0,0.0
A0A0U0X8L3,False,0,0,0.0
A0A0H3DPR3,False,0,0,0.0
A0A0T9TZ28,False,0,0,0.0
Q8D342,False,0,0,0.0
J3GRF3,False,0,0,0.0
A0A0E9BV84,False,0,0,0.0
A0A089UGS4,False,0,0,0.0
Q2NRV6,False,0,0,0.0
S1D3S1,False,0,0,0.0
P36555,False,0,0,0.0
E3DK49,False,0,0,0.0
D6JCF4,False,0,0,0.0
E1I4Y0,False,0,0,0.0
ZP_04612557,False,0,0,1.0
U6ZE16,False,0,0,0.0
A0A087FTY1,False,0,0,0.0
S0ADI3,False,0,0,0.0
W7P7F7,False,0,0,0.0
A0A029LHN6,False,0,0,0.0
A0A029KLZ7,False,0,0,0.0
V5Z6B2,False,0,0,0.0
A0A0U4VU15,False,0,0,0.0
C8SZL3,False,0,0,0.0
J2QLH4,False,0,0,0.0
S5MY40,False,0,0,0.0
T9CX84,False,0,0,0.0
H3N452,False,0,0,0.0
A0A0A6DE85,False,0,0,0.0
A0A0W0HJ52,False,0,0,0.0
A0A0A1RQI8,False,0,0,0.0
J3TGF2,False,0,0,0.0
E9CKL1,False,0,0,0.0
A0A0A1R5R9,False,0,0,0.0
A0A089V8K4,False,0,0,0.0
C0Q069,False,0,0,0.0
A0A0Q4MZZ0,False,0,0,0.0
A0A060V7R1,False,0,0,0.0
A0A0T9LIQ7,False,0,0,0.0
D4F3Y2,False,0,0,0.0
A0A0G3IX29,False,0,0,0.0
A0A0H5AJZ3,False,0,0,0.0
K2TXA4,False,0,0,0.0
C6CR02,False,0,0,0.0
A0A0T9TBD4,False,0,0,0.0
A0A0B6FVX2,False,0,0,0.0
G5RI44,False,0,0,0.0
A0A0J6J1M0,False,0,0,0.0
A0A031FNN6,False,0,0,0.0
A0A0Q0B2R4,False,0,0,0.0
A0A0T9SPD0,False,0,0,0.0
W6W1T0,False,0,0,0.0
H2IT99,False,0,0,0.0
R9VRW8,False,0,0,0.0
W1FUL7,False,0,0,0.0
A0A085GCF3,False,0,0,0.0
A0A0B2TPC6,False,0,0,0.0
A0A0H3H486,False,0,0,0.0
V7EB76,False,0,0,0.0
ZP_04638974,False,0,0,1.0
J3GC95,False,0,0,0.0
A0A0W0P1E6,False,0,0,0.0
A0A127I1Y9,False,0,0,0.0
A0A0F0DV39,False,0,0,0.0
A0A0F3LWL8,False,0,0,0.0
A0A0F4TIH9,False,0,0,0.0
T0R394,False,0,0,0.0
B2TW38,False,0,0,0.0
ZP_03049119,False,0,0,0.0
A0A0U1KEK2,False,0,0,0.0
A0A0B2TV63,False,0,0,0.0
A0A0J0LD80,False,0,0,0.0
A0A0R2YP19,False,0,0,0.0
A0A085U7Z0,False,0,0,0.0
A0A014PRU6,False,0,0,0.0
D4E721,False,0,0,0.0
A0A0E2LKA6,False,0,0,0.0
U6ZJX0,False,0,0,0.0
A0A0L3K1A4,False,0,0,0.0
A0A0E0U187,False,0,0,0.0
I4KGC7,False,0,0,0.0
A0A0D0THL4,False,0,0,0.0
A0A022PMV0,False,0,0,0.0
J2V6J3,False,0,0,0.0
A0A0E0V8G1,False,0,0,0.0
A0A0H3FEC2,False,0,0,0.0
I6D8H3,False,0,0,0.0
A0A0L7ANA7,False,0,0,0.0
I0QW04,False,0,0,0.0
G5QLU6,False,0,0,0.0
W8U2Y4,False,0,0,0.0
A0A0K3EAG7,False,0,0,0.0
A0A0P9XNS6,False,0,0,0.0
ZP_03837591,False,0,0,0.0
A0A0N1U755,False,0,0,0.0
A0A0D5XZI6,False,0,0,0.0
A0A0F7LQY7,False,0,0,0.0
A0A068HJQ2,False,0,0,0.0
A0A0W0PEC1,False,0,0,0.0
A0A0L7T235,False,0,0,0.0
A0A0H3FMQ0,False,0,0,0.0
V2TC98,False,0,0,0.0
V3T3E2,False,0,0,0.0
A0A0S3MY07,False,0,0,0.0
M8K4C2,False,0,0,0.0
A0A0Q4ENB0,False,0,0,0.0
A0A0P9GID4,False,0,0,0.0
A0A143GHL7,False,0,0,0.0
A0A0A2RFA0,False,0,0,0.0
A0A0M3F048,False,0,0,0.0
A0A0P9WG31,False,0,0,0.0
A0A109Y9V7,False,0,0,0.0
S5HIU3,False,0,0,0.0
A0A143I180,False,0,0,0.0
B5BCP7,False,0,0,0.0
E0SD04,False,0,0,0.0
A0A0T9XTV9,False,0,0,0.0
H5UY48,False,0,0,0.0
M0Q6R9,False,0,0,0.0
A0A010RKY6,False,0,0,0.0
J3IDE6,False,0,0,0.0
A0A101LHN4,False,0,0,0.0
A0A0V7FY01,False,0,0,0.0
ZP_02654724,False,0,0,0.0
A0A0D4ZY85,False,0,0,0.0
U2M0P3,False,0,0,0.0
J3DXV3,False,0,0,0.0
G5LRD1,False,0,0,0.0
A0A0H5BQ21,False,0,0,0.0
A0A0C2RI10,False,0,0,0.0
A0A086GFG9,False,0,0,0.0
G5PB53,False,0,0,0.0
U1SQC2,False,0,0,0.0
Q2NRV7,False,0,0,0.0
V7UGR5,False,0,0,0.0
A0A0E9BTF2,False,0,0,0.0
A0A0C2EI94,False,0,0,0.0
A0A0F4VB15,False,0,0,0.0
E2XRX7,False,0,0,0.0
A0A0G3K600,False,0,0,0.0
S1M5Q7,False,0,0,0.0
A0A155VZU4,False,0,0,0.0
G5NFN2,False,0,0,0.0
J7QFV6,False,0,0,0.0
A0A0M3HC87,False,0,0,0.0
ZP_04630103,False,0,0,1.0
A0A0E3GXH3,False,0,0,0.0
A0A0K1QT80,False,0,0,0.0
A0A0M2F112,False,0,0,0.0
A0A126PIK5,False,0,0,0.0
A0A0K5GD65,False,0,0,0.0
H7E611,False,0,0,0.0
A4WAM4,False,0,0,0.0
A0A089UES9,False,0,0,0.0
J3BZA2,False,0,0,0.0
A0A026RVS4,False,0,0,0.0
C6CR01,False,0,0,0.0
A0A094ULT8,False,0,0,0.0
A0A0A6W3V0,False,0,0,0.0
A0A083Z6C0,False,0,0,0.0
E6WIX3,False,0,0,0.0
A0A0P8X1S3,False,0,0,0.0
A8A2C2,False,0,0,0.0
A0A0B1R237,False,0,0,0.0
Q32DT3,False,0,0,0.0
C7BHM1,False,0,0,0.0
A0A023VG13,False,0,0,0.0
A0A0P9I4G6,False,0,0,0.0
A0A0P9S0W1,False,0,0,0.0
A0A0R3A829,False,0,0,0.0
ZP_04631861,False,0,0,1.0
T5NRH6,False,0,0,0.0
A8FRR3,False,0,0,0.0
A0A023YZW6,False,0,0,0.0
A0A0D7LFD5,False,0,0,0.0
A0A0T9T7L7,False,0,0,0.0
A0A084YVD4,False,0,0,0.0
A0A0J6MF57,False,0,0,0.0
A0A0B1R3B0,False,0,0,0.0
D2C0D6,False,0,0,0.0
L7HM65,False,0,0,0.0
A0A0Q4ENQ7,False,0,0,0.0
F2ZCT2,False,0,0,0.0
A0A0B2TCZ3,False,0,0,0.0
A0A0S4I2Y9,False,0,0,0.0
A0A0W0L9I0,False,0,0,0.0
H4JAG8,False,0,0,0.0
A0A0T9SLA5,False,0,0,0.0
A0A0N8TFG9,False,0,0,0.0
J3H6M3,False,0,0,0.0
A0A0J0N3K6,False,0,0,0.0
A0A0F5B741,False,0,0,0.0
A0A0D0QU15,False,0,0,0.0
A0A127I262,False,0,0,0.0
A0A070UX71,False,0,0,0.0
A0A0L7AMR2,False,0,0,0.0
A0A0K3YB97,False,0,0,0.0
A0A0N7LIT6,False,0,0,0.0
H5UY49,False,0,0,0.0
V9QY78,False,0,0,0.0
A0A0K4JLB7,False,0,0,0.0
A0A0J6G8V0,False,0,0,0.0
R4YIG6,False,0,0,0.0
A0A0F0DVA7,False,0,0,0.0
A0A125X0Q0,False,0,0,0.0
A0A0J1NEV1,False,0,0,0.0
M4WT30,False,0,0,0.0
F5NXK5,False,0,0,0.0
A0A126PIU4,False,0,0,0.0
A0A0G3CTV4,False,0,0,0.0
A0A0P9QHE5,False,0,0,0.0
A0A0J1LFF2,False,0,0,0.0
A0A0U1I036,False,0,0,0.0
M9EBT6,False,0,0,0.0
K1JLC1,False,0,0,0.0
A0A0F0Y9B4,False,0,0,0.0
A0A0A1YSW9,False,0,0,0.0
A0A0W0IB01,False,0,0,0.0
V8MNH2,False,0,0,0.0
A0A0P8HSL1,False,0,0,0.0
R0DD00,False,0,0,0.0
L3P6R2,False,0,0,0.0
J2XCF8,False,0,0,0.0
A0A080FPF0,False,0,0,0.0
A0A010SJP6,False,0,0,0.0
A0A0Q0D598,False,0,0,0.0
W0HV77,False,0,0,0.0
ZP_04005119,False,0,0,0.0
A0A0U5L8V7,False,0,0,0.0
W6J512,False,0,0,0.0
A0A095UDB2,False,0,0,0.0
A0A0C5E4Z3,False,0,0,0.0
A0A0L0GZ63,False,0,0,0.0
E3XRD1,False,0,0,0.0
A0A071LQF6,False,0,0,0.0
A0A0V9R874,False,0,0,0.0
A0A0U1HPI9,False,0,0,0.0
A0A0P9R2B4,False,0,0,0.0
J3TFQ5,False,0,0,0.0
A0A0Q8Z7K7,False,0,0,0.0
A0A0E9BCZ4,False,0,0,0.0
A0A062Y960,False,0,0,0.0
A0A0E8XG89,False,0,0,0.0
J2DH47,False,0,0,0.0
G5LBR7,False,0,0,0.0
E0M3E7,False,0,0,0.0
A0A0B3WYW0,False,0,0,0.0
A0A0F6C6V8,False,0,0,0.0
C0Q070,False,0,0,0.0
W6VJQ1,False,0,0,0.0
K8W9H0,False,0,0,0.0
W1IQZ8,False,0,0,0.0
A0A090UYY9,False,0,0,0.0
S0TI75,False,0,0,0.0
A0A0A6YEL3,False,0,0,0.0
A0A0V3TXP0,False,0,0,0.0
A0A080IUY5,False,0,0,0.0
A0A124DWG9,False,0,0,0.0
A0A0W0MHR3,False,0,0,0.0
A0A0W0HVG5,False,0,0,0.0
D4B7D5,False,0,0,0.0
A0A0J6HW22,False,0,0,0.0
A0A0F1A7S8,False,0,0,0.0
A0A0Q0WW56,False,0,0,0.0
A0A0D5WUG9,False,0,0,0.0
A0A155W1R0,False,0,0,0.0
A0A075P912,False,0,0,0.0
A0A0P9VBA5,False,0,0,0.0
A0A0Q6PZW3,False,0,0,0.0
A0A0D7FBE8,False,0,0,0.0
A0A089PTA0,False,0,0,0.0
A0A095T798,False,0,0,0.0
A0A059I590,False,0,0,0.0
A0A0J5L0K0,False,0,0,0.0
E0IY58,False,0,0,0.0
A0A0D1LHC4,False,0,0,0.0
A0A0E2UNA0,False,0,0,0.0
D6JCF5,False,0,0,0.0
A0A0R2ZBJ8,False,0,0,0.0
F3FF77,False,0,0,0.0
B2VBJ0,False,0,0,0.0
F5NXK4,False,0,0,0.0
H3RK89,False,0,0,0.0
A0A0V2D6T8,False,0,0,0.0
A0A0A1A7J7,False,0,0,0.0
V1HXM0,False,0,0,0.0
A0A0W0HIW4,False,0,0,0.0
A0A0P9HV92,False,0,0,0.0
A0A0W5CXN7,False,0,0,0.0
A0A0E3MLH3,False,0,0,0.0
A0A073HCK9,False,0,0,0.0
A0A023CG80,False,0,0,0.0
A0A157WMV1,False,0,0,0.0
I2WPI6,False,0,0,0.0
A0A126VMJ0,False,0,0,0.0
YP_001477377,False,0,0,1.0
A0A0F0YAB9,False,0,0,0.0
A0A0M2N0P3,False,0,0,0.0
L0M062,False,0,0,0.0
ZP_04623897,False,0,0,1.0
A0A0I2CF58,False,0,0,0.0
A0A070KJ65,False,0,0,0.0
A0A0K0HCA5,False,0,0,0.0
A0A127KWT6,False,0,0,0.0
G5LRD0,False,0,0,0.0
Q57M56,False,0,0,0.0
A0A0L6N8J3,False,0,0,0.0
J2LA85,False,0,0,0.0
Q4ZSZ2,False,0,0,0.0
A0A0E1E9E4,False,0,0,0.0
G2GWW8,False,0,0,0.0
A0A0M9D1C5,False,0,0,0.0
A0A0A3YUK4,False,0,0,0.0
A0A144KKE7,False,0,0,0.0
W1F0U1,False,0,0,0.0
A0A0M0UXQ5,False,0,0,0.0
K0WEZ3,False,0,0,0.0
E6WIX2,False,0,0,0.0
A0A0X4EP06,False,0,0,0.0
Q3KCC1,False,0,0,0.0
A0A0N8QTB5,False,0,0,0.0
